Name,Rating,Reviews,Address,Website,Phone,Email,关键词,区域,抓取时间
Double V Group HQ,,,"地址: Habito Rd, Phra Khanong Nuea, Watthana, Bangkok 10110泰国 ",http://doublev.space/,电话: +66 64 929 7896 ,,Interior Design Studio,"Sukhumvit, Bangkok, Thailand",2026-03-20 15:13
"Keen Design Studio Co.,Ltd.",,,"地址: 82 The Grand Sethiwan,Tower B, G Floor Sukhumvit 24 Alley, Klongton Klongtoey Bangkok 10110泰国 ",http://www.keen-designstudio.com/,电话: +66 2 204 0544 ,,Interior Design Studio,"Sukhumvit, Bangkok, Thailand",2026-03-20 15:13
Metaphor Design Studio,,,"地址: Soi Sukhumvit 33, Khlong Tan Nuea, Watthana, Bangkok 10110泰国 ",https://metaphordesign.studio/,电话: +66 81 990 2029 ,nmetaphor.designstudio@gmail.com,Interior Design Studio,"Sukhumvit, Bangkok, Thailand",2026-03-20 15:13
Delcoi Interior Design and Renovation Services in Bangkok ผู้รับเหมา ตกแต่งภายใน ออกแบบสำนักงาน รีโนเวทบ้าน,,,"地址: 62 The Millennia tower Unit.1806, Soi Langsuan, Lumphini, Pathum Wan, Bangkok 10330泰国 ",https://www.delcoi.com/th/,,"info@delcoi.com, anton@upmedio.com",Interior Design Studio,"Sukhumvit, Bangkok, Thailand",2026-03-20 15:14
Mina Interior Design,,,"地址: PHGG+G25, Soi Sukhumvit 32, Khlong Tan, Khlong Toei, Bangkok 10110泰国 ",http://www.minainteriordesign.com/,电话: +66 86 778 5559 ,"8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, minainteriordesign.th@gmail.com",Interior Design Studio,"Sukhumvit, Bangkok, Thailand",2026-03-20 15:14
Instyle Deco Paris - Interior Designers in Bangkok ( บริษัทออกแบบภายในครบวงจร ด้วยทีมงานผู้เชี่ยวชาญจากฝรั่งเศส ),,,"地址: Metropolis Building, 725 Sukhumvit Rd, Khlong Tan, Khlong Toei, Bangkok 10110泰国 ",https://www.instyledecoparis.com/,电话: +66 88 751 6792 ,instyledecoparis@gmail.com,Interior Design Studio,"Sukhumvit, Bangkok, Thailand",2026-03-20 15:14
"Leo International Design Group Co.,Ltd (Leo Inter)",,,"地址: 75/108,111 Ocean tower2, Sukhumvit 19 Alley, Khlong Toei Nuea, Vatthana, Bangkok 10110泰国 ",https://www.leointernationaldesign.com/,电话: +66 2 261 7733 ,contact@leodesign.group,Interior Design Studio,"Sukhumvit, Bangkok, Thailand",2026-03-20 15:14
Interior Architects 49 Limited,,,"地址: 116 Sukhumvit 26, Khlong Tan, Khlong Toei, Bangkok 10110泰国 ",http://www.ia49.co.th/,电话: +66 2 259 3533 ,,Interior Design Studio,"Sukhumvit, Bangkok, Thailand",2026-03-20 15:14
Elementi Interiors,,,,http://www.elementiltd.com/,电话: +66 81 274 9892 ,,Interior Design Studio,"Sukhumvit, Bangkok, Thailand",2026-03-20 15:14
Studio Perception | Workplace Design-Build,,,"地址: อาคารเคี่ยนหงวน, 138, 2 ชั้นที่ 18 Witthayu Rd, Lumphini, Pathum Wan, Bangkok 10330泰国 ",https://studio-perception.com/th/,电话: +66 88 881 9211 ,,Interior Design Studio,"Sukhumvit, Bangkok, Thailand",2026-03-20 15:14
Super Living Interior Studio,,,"地址: 75/60 ชั้น 27 19(วัฒนา Soi Pha Suk, Bangkok 10110泰国 ",https://linkbio.co/superliving,电话: +66 2 258 4965 ,,Interior Design Studio,"Sukhumvit, Bangkok, Thailand",2026-03-20 15:14
PIA Interior Company Limited.,,,"地址: Office Complex, 193/120-123 28th Floor, Ratchadaphisek Rd, Klongtoei, Bangkok 10110泰国 ",http://piainterior.com/web/index.html,电话: +66 2 264 0690 ,careers@piainterior.com,Interior Design Studio,"Sukhumvit, Bangkok, Thailand",2026-03-20 15:14
BEYOND DECOR,,,"地址: 119, LEON Ville, 18 Sukhumvit 62 Phra Khanong Tai, Phra Khanong, Bangkok 10260泰国 ",http://www.beyonddecor.co.th/,电话: +66 88 956 5936 ,info@beyonddecor.co.th,Interior Design Studio,"Sukhumvit, Bangkok, Thailand",2026-03-20 15:14
Kristyna Picot Interiors,,,"地址: 4, Zen World Tower, 4/5 Ratchadamri Rd, Khwaeng Pathum Wan, Pathum Wan, Bangkok 10330泰国 ",http://www.picotinteriors.com/,电话: +66 81 999 3038 ,"filler@godaddy.com, info@picotinteriors.com",Interior Design Studio,"Sukhumvit, Bangkok, Thailand",2026-03-20 15:15
