Name,Rating,Reviews,Address,Website,Phone,Email,关键词,区域,抓取时间
Saud and Nasser Al-Hazmi Company,,,,,,,Bathroom Furniture Distributor,"Al Balad, Jeddah, Saudi Arabia",2026-03-20 17:39
BAGNODESIGN Jeddah,,,,,,,Bathroom Furniture Distributor,"Al Balad, Jeddah, Saudi Arabia",2026-03-20 17:39
ALGHAMDI COMPANY FOR SANITARY WARES,,,"地址: Haddab Center, Prince Mohammed Bin Abdulaziz St, Ar Rawdah, Jeddah 23432沙特阿拉伯 ",https://sanipexgroup.com/sa/,电话: +966 12 206 7232 ,,Bathroom Furniture Distributor,"Al Balad, Jeddah, Saudi Arabia",2026-03-20 17:39
Al-Thiabi Glass,,,"地址: Haddab Center, Prince Mohammed Bin Abdulaziz St, Ar Rawdah, Jeddah 23432沙特阿拉伯 ",https://sanipexgroup.com/sa/,电话: +966 12 206 7232 ,,Bathroom Furniture Distributor,"Al Balad, Jeddah, Saudi Arabia",2026-03-20 17:40
Southern market,,,"地址: Mazda Co, Al-Mumaria Dist , Behind, Jeddah 沙特阿拉伯 ",https://www.althiabiglass.com/,电话: +966 59 390 9525 ,"your.address@email.com, sales@althiabiglass.com",Bathroom Furniture Distributor,"Al Balad, Jeddah, Saudi Arabia",2026-03-20 17:40
Corner Nasiriyah - Bab Sharif,,,"地址: Bamehrez, Jeddah 22233沙特阿拉伯 ",https://janoubco.com/?tracking=Google_Maps,电话: +966 9200 09288 ,"online.store@janoubco.com, info@aljanoub.sa",Bathroom Furniture Distributor,"Al Balad, Jeddah, Saudi Arabia",2026-03-20 17:40
Hindawiah Markets For Household Utensils,,,"地址: 3057 Banajah, Al-Balad, Jeddah 22233沙特阿拉伯 ",,电话: +966 55 610 3419 ,,Bathroom Furniture Distributor,"Al Balad, Jeddah, Saudi Arabia",2026-03-20 17:40
أصل دوس | ASL DOS,,,"地址: 7865 Shajarah Al Kafour, Al-Hindawiya, Jeddah 22321沙特阿拉伯 ",,,,Bathroom Furniture Distributor,"Al Balad, Jeddah, Saudi Arabia",2026-03-20 17:40
五金建材物资供应/BATCO,,,"地址: 7865 Shajarah Al Kafour, Al-Hindawiya, Jeddah 22321沙特阿拉伯 ",,,,Bathroom Furniture Distributor,"Al Balad, Jeddah, Saudi Arabia",2026-03-20 17:40
البلد,,,"地址: البلد 3137 Banajah, Al Balad District حي البلد 6463, Jeddah 22233沙特阿拉伯 ",,电话: +966 56 192 1685 ,,Bathroom Furniture Distributor,"Al Balad, Jeddah, Saudi Arabia",2026-03-20 17:40
بيت التحف والانتيك,,,"地址: البلد 3137 Banajah, Al Balad District حي البلد 6463, Jeddah 22233沙特阿拉伯 ",,电话: +966 56 192 1685 ,,Bathroom Furniture Distributor,"Al Balad, Jeddah, Saudi Arabia",2026-03-20 17:41
