Name,Rating,Reviews,Address,Website,Phone,Email,关键词,区域,抓取时间
J.Mark Interiors LTD.,,,,,,,Luxury interior design studio,"Musrara, Jerusalem, Israel",2026-03-27 11:57
Harmony Interior Design,,,,,,,Luxury interior design studio,"Musrara, Jerusalem, Israel",2026-03-27 11:57
YUNU DESIGN | סטודיו לעיצוב פנים והום סטיילינג,,,"地址: Hebron Rd 59, Jerusalem, 以色列 ",https://yunu.design/,电话: +972 54-490-9400 ,,Luxury interior design studio,"Musrara, Jerusalem, Israel",2026-03-27 11:57
Talila designs,,,"地址: Sderot HaMe'iri 16, Jerusalem, 以色列 ",http://talilaindesign.com/,电话: +972 54-698-1431 ,talilava@gmail.com,Luxury interior design studio,"Musrara, Jerusalem, Israel",2026-03-27 11:57
Ronit Zwebner Interior Design Jerusalem Ashkelon Tel Aviv,,,,https://avielz.wixsite.com/ronitsdesign,电话: +972 3-610-9880 ,"avielz@hotmail.com, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com",Luxury interior design studio,"Musrara, Jerusalem, Israel",2026-03-27 11:57
Lusky Studio - מעצבת פנים | עיצוב ותכנון משרדים וחללים מסחריים בירושלים,,,"地址: גבעת בית הכרם 2, Jerusalem以色列 ",https://luskystudio.com/,电话: +972 54-637-9950 ,lucia.a.con@gmail.com,Luxury interior design studio,"Musrara, Jerusalem, Israel",2026-03-27 11:57
Kiara Interior Design Studio קיארה סטודיו לעיצוב פנים,,,,https://www.kiara-studio.com/,电话: +972 54-437-8094 ,"dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com, kiarandreu@gmail.com, 18d2f96d279149989b95faf0a4b41882@sentry-next.wixpress.com",Luxury interior design studio,"Musrara, Jerusalem, Israel",2026-03-27 11:57
Yael Wiesner Professional Organizer & Interior Designer,,,"地址: Kehilot Ya'akov St 22, Jerusalem ",http://www.yaelwiesner.com/,电话: +972 2-648-7187 ,,Luxury interior design studio,"Musrara, Jerusalem, Israel",2026-03-27 11:57
Shana W Interiors | Shana Wirzberger Interior Design Jerusalem,,,"地址: Nakhalat Tsadok St 16, Jerusalem, 以色列 ",https://shanawinteriors.com/,电话: +972 54-734-4897 ,shana@shanawinteriors.com,Luxury interior design studio,"Musrara, Jerusalem, Israel",2026-03-27 11:57
Sharonne Turen Architecture & Interior Design,,,"地址: Beit Lehem Rd 62, Jerusalem, 9350415以色列 ",https://www.sharonneturen.com/,电话: +972 54-941-4109 ,"talg2409@gmail.com, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com, 9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com",Luxury interior design studio,"Musrara, Jerusalem, Israel",2026-03-27 11:57
Leviz Design,,,"地址: Aminadav St 14, Jerusalem, 以色列 ",https://www.facebook.com/levizdesign/,电话: +972 54-463-6473 ,,Luxury interior design studio,"Musrara, Jerusalem, Israel",2026-03-27 11:58
Sandy B Interiors,,,"地址: Sderot Shai Agnon 11/28, Jerusalem, 以色列 ",http://www.sandybinteriors.com/,电话: +972 52-308-9779 ,,Luxury interior design studio,"Musrara, Jerusalem, Israel",2026-03-27 11:58
Musrara — The Naggar Multidisciplinary School of Art and Society,,,"地址: HaAyin Het St 9, Jerusalem ",https://www.musrara.co.il/,电话: +972 2-628-6519 ,,Luxury interior design studio,"Musrara, Jerusalem, Israel",2026-03-27 11:58
Jerusalem Design,,,"地址: IL 9318306, Aba Hilkiyah St 4, Jerusalem, 以色列 ",http://www.jerudesign.com/,电话: +972 54-979-7155 ,yoav@jerudesign.com,Luxury interior design studio,"Musrara, Jerusalem, Israel",2026-03-27 11:58
The Design Hub - Jerusalem,,,"地址: Yad Harutsim St 4, Jerusalem, 以色列 ",https://www.designhubjlm.com/,电话: +972 54-307-7058 ,,Luxury interior design studio,"Musrara, Jerusalem, Israel",2026-03-27 11:58
Sunshine Interiors,,,"地址: Amatsya St 5, Jerusalem, 9330339以色列 ",http://www.mysunshine.co.il/,电话: +972 54-661-1158 ,,Luxury interior design studio,"Musrara, Jerusalem, Israel",2026-03-27 11:58
Nili Architecture,,,"地址: Rachel Imenu St 28, Jerusalem, 9322815以色列 ",http://niliarchitecture.com/,电话: +972 54-795-2725 ,nilisteinbock@gmail.com,Luxury interior design studio,"Musrara, Jerusalem, Israel",2026-03-27 11:58
Gittie Perl,,,"地址: Kahanov St 24, Jerusalem, 以色列 ",https://www.houzz.com/professionals/interior-designers-and-decorators/gittie-perl-pfvwus-pf~344009133,,,Luxury interior design studio,"Musrara, Jerusalem, Israel",2026-03-27 11:58
