Name,Rating,Reviews,Address,Website,Phone,Email,关键词,区域,抓取时间
AN studio,,,"地址: 3663 Imam Saud Bin Abdulaziz Bin Mohammed Rd, King Fahd, 8582, Riyadh 12274沙特阿拉伯 ",http://www.anstudio.sa/,电话: +966 58 033 0413 ,"605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, 2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com",Architectural Design Studio,"Olaya, Riyadh, Saudi Arabia",2026-03-27 13:29
Moonier studio architects,,,"地址: طريق الملك فهد الفرعي, Al Mohammadiyyah, Riyadh 12363沙特阿拉伯 ",https://www.moonierstudio.com/,电话: +34 722 69 13 73 ,,Architectural Design Studio,"Olaya, Riyadh, Saudi Arabia",2026-03-27 13:29
Orbit Profiles‏ Profilpas Spa - Balobaid Trading,,,"地址: Al Takhassousi, Al Olaya, Riyadh 12311沙特阿拉伯 ",https://linktr.ee/orbitprofiles?utm_source=linktree_admin_share,电话: +966 53 336 6835 ,,Architectural Finishes Distributor,"Olaya, Riyadh, Saudi Arabia",2026-03-27 13:42
Halsco,,,"地址: Office Building No. 07 3rd Floor Office No. 7303 Andalus Mall, Riyadh 沙特阿拉伯 ",https://halsco.com.sa/,电话: +966 59 540 6078 ,"info@halsco.com.sa, adnanakram.cs@gmail.com",Architectural Finishes Distributor,"Olaya, Riyadh, Saudi Arabia",2026-03-27 13:42
APCO,,,"地址: Al Olaya, Riyadh 12333沙特阿拉伯 ",http://www.apco-alazizia.com/,电话: +966 54 116 6555 ,Info@apco-alazizia.com,Architectural Finishes Distributor,"Olaya, Riyadh, Saudi Arabia",2026-03-27 13:42
Omrania by Egis,,,"地址: 3225 Turki Ibn Abdullah Al Saud, 8474, As Sulimaniyah, Riyadh 12234沙特阿拉伯 ",http://www.omrania.com/,电话: +966 11 292 2260 ,,Architectural Finishes Distributor,"Olaya, Riyadh, Saudi Arabia",2026-03-27 13:43
IDC - Interactive Development Company,,,"地址: RHOB2712, Riyadh 12214沙特阿拉伯 ",https://www.idc-arch.com/,电话: +966 11 466 4294 ,,Architectural Finishes Distributor,"Olaya, Riyadh, Saudi Arabia",2026-03-27 13:43
glass palace HQ,,,"地址: 78, Riyadh 12214沙特阿拉伯 ",https://glasspalace-sa.com/,电话: +966 55 253 0904 ,info@galsspalace-sa.com,Architectural Glass & Mirror Co,"Olaya, Riyadh, Saudi Arabia",2026-03-27 13:39
钢化玻璃厂,,,"地址: 4600, Riyadh 11371沙特阿拉伯 ",http://arabian-glass.com/,电话: +966 11 499 5602 ,info@arabian-glass.com,Architectural Glass & Mirror Co,"Olaya, Riyadh, Saudi Arabia",2026-03-27 13:39
GLASS AND MIRROR ATIK MEHMUD,,,"地址: Al Mursalat, Riyadh 12461沙特阿拉伯 ",,电话: +966 50 622 4114 ,,Architectural Glass & Mirror Co,"Olaya, Riyadh, Saudi Arabia",2026-03-27 13:39
